rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
289,Theia_1797,99.071159,9.832588,202.462907,1.142,1074.3,10.1556,134,7.945,0.42375,0.5641,7.443,1.137,-1.5823,-0.93,0.8658,0.342038,1.772787,Theia_1797
290,UBC_159,338.997116,39.635328,96.396183,-16.16,480.4,8.4081,232,3.548,0.42309,0.5624,6.682,0.425,-2.0178,-4.676,2.0184,0.504200,1.348064,"ASCC_122,MWSC_3637,Theia_18,UBC_159"
291,Pozzo_1,122.374635,-47.353671,262.814057,-7.7,346.2,7.6963,365,2.551,0.42223,0.5601,6.971,0.355,-6.3639,9.4367,2.8467,0.445120,1.483663,"Pozzo_1,Theia_22,Theia_99"
292,Alessi_24,260.978436,-62.817558,328.927502,-14.72,466.4,8.3437,371,3.412,0.41914,0.5519,7.999,0.159,-0.43,-8.9625,2.0421,0.318323,1.843189,"ASCC_89,Alessi_24,LISC-III_3249,MWSC_2582,OC_0638"
293,UPK_12,288.872565,-22.077794,15.450056,-14.94,626.2,8.9836,109,4.577,0.41879,0.551,8.279,0.247,0.6037,-6.6941,1.5002,0.178225,3.196520,"Theia_7543,UBC_98 ,UPK_12"
294,Theia_5320,126.595901,-33.743229,253.295375,2.557,1295.8,10.5628,115,9.47,0.41869,0.5507,7.623,0.356,-4.8326,4.3448,0.7325,0.618282,1.229414,"CWNU_223,Theia_5320"
295,UPK_66,305.282705,13.343439,55.544741,-13.01,645.8,9.0504,105,4.717,0.41848,0.5502,8.372,0.154,0.4281,-10.0527,1.4725,0.864691,0.864691,"Theia_336,UPK_66"
296,NGC_3532,166.393539,-58.693786,289.538159,1.398,452.8,8.2797,3414,3.307,0.41836,0.5498,8.376,0.12,-10.4024,5.2286,2.0875,0.374477,1.548831,"BH_109,Collinder_238,ESO_128-31,MWSC_1890,Melotte_103,NGC_3532,OCL_839,Theia_720"
297,Alessi_40,279.270709,-19.168229,14.226874,-5.572,541.6,8.6686,290,3.948,0.41757,0.5478,8.089,1.222,-2.4179,-6.4192,1.7372,0.361382,1.591020,"ASCC_97,Alessi_40,MWSC_2963,Theia_462"
298,UPK_39,277.477719,1.07627,31.433251,5.28,421.6,8.1244,190,3.071,0.41741,0.5474,6.614,2.315,3.2706,-8.6675,2.2505,0.443835,1.391015,UPK_39
299,Renou_23,84.526135,57.108419,154.92384,13.35,457.4,8.3017,335,3.321,0.41592,0.5435,8.296,1.077,-3.2554,-3.9894,2.0699,0.295652,1.906582,"LISC-III_3517,Renou_23,Theia_938,UBC_8"
300,UPK_53,288.529444,14.269089,48.187111,1.557,559.7,8.7396,209,4.049,0.41451,0.5398,8.274,1.31,2.4647,1.0322,1.6776,0.405979,1.428876,"Theia_952,UPK_53"
301,Theia_123,43.368949,68.840176,133.611217,8.538,418.3,8.1073,204,2.99,0.40951,0.5268,8.097,1.205,1.4626,-7.9106,2.2831,0.361408,1.552575,"OCSN_46,Theia_123"
302,Collinder_394,283.058224,-20.271908,14.816889,-9.258,676.2,9.1503,977,4.811,0.40766,0.5221,7.924,0.621,-1.4534,-5.8742,1.3356,0.474617,1.263283,"Collinder_394,ESO_592-3,MWSC_3011,OCL_42,Theia_407"
303,UPK_17,279.71573,-15.041793,18.112594,-4.083,644.1,9.0448,144,4.57,0.40653,0.5192,8.4,1.682,0.9602,-7.891,1.4806,0.280754,1.941352,"Theia_1048,UPK_17"
304,Alessi-Teutsch_3,118.285514,-53.000783,266.424348,-12.81,667.1,9.1209,138,4.676,0.40166,0.5068,8.013,0.511,-5.3377,8.9453,1.4208,0.320701,1.667285,"ASCC_42,AT_3,Alessi-Teutsch_3,Alessi_30,Alessi_Teutsch_3,MWSC_1373"
305,OC_0343,97.631647,4.357298,206.664928,-2.649,632.3,9.0046,104,4.415,0.40003,0.5027,7.488,0.148,-1.7586,-4.7142,1.5237,0.302650,1.785639,"CWNU_1003,OC_0343,Theia_838"
306,Alessi_20,2.6435,58.756513,117.642685,-3.695,410.7,8.0679,252,2.864,0.39945,0.5013,6.826,0.647,8.1167,-2.4272,2.3431,0.282128,1.838440,"Alessi_20,Theia_34"
