rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
200,Theia_387,79.15304,37.199142,169.76442,-0.5349,507.7,8.5279,119,5.883,0.66388,1.3846,8.042,0.494,-0.4737,-9.146,1.8478,0.483826,2.950505,Theia_387
201,Alessi_12,310.870816,23.538468,67.214073,-11.6,522.4,8.5899,425,6.052,0.66375,1.3841,8.086,0.137,4.2774,-4.7017,1.8431,0.728837,2.162918,"Alessi_12,LeDrew_2,MWSC_3404,Theia_254"
202,ASCC_20,82.193554,1.721304,201.590217,-17.47,356.9,7.763,194,4.119,0.66113,1.3731,7.098,0.108,-0.5691,0.759,2.7302,1.505398,1.631160,"ASCC_20,OCSN_57"
203,CWNU_405,51.184902,40.764316,151.797183,-13.36,1132.0,10.2691,140,13.02,0.659,1.3644,7.864,0.545,-0.5153,-3.9852,0.8399,1.475462,1.475462,CWNU_405
204,UPK_51,314.096527,-6.71763,41.684237,-30.78,560.6,8.7432,138,6.421,0.65626,1.353,8.012,0.12,5.1408,1.9767,1.7219,0.747564,2.112078,UPK_51
205,Gulliver_28,293.654245,18.163899,53.948321,-0.9302,614.0,8.9407,105,6.967,0.65009,1.3277,7.821,2.132,-4.419,-3.4715,1.5418,0.844553,1.937731,"Gulliver_28,Theia_955"
206,HSC_2919,246.601654,-24.084846,353.31404,17.12,134.3,5.6403,175,1.52,0.64853,1.3213,7.434,3.219,-6.9322,-26.0184,7.2153,1.425185,1.425185,HSC_2919
207,Stock_10,84.741597,37.808367,171.720881,3.49,341.8,7.6689,320,3.768,0.63153,1.253,8.129,0.286,-3.1503,-0.4284,2.7944,0.594852,2.278708,"Stock_10,Theia_609"
208,UPK_467,121.289697,-11.324744,231.701012,10.74,561.3,8.7459,179,6.159,0.62873,1.2419,8.117,0.101,-6.9321,-1.566,1.6902,1.006807,1.692398,"Theia_395,UPK_467"
209,HSC_1262,57.64357,35.074871,159.531126,-14.77,374.9,7.8693,143,4.113,0.62867,1.2416,6.704,0.439,3.3748,-4.3794,2.5633,1.393856,1.525891,HSC_1262
210,Theia_3581,112.257946,-14.159741,229.792223,1.683,1064.7,10.1362,135,11.661,0.62746,1.2369,7.782,0.469,-3.3614,1.0649,0.8946,1.125217,1.125217,"CWNU_1112,Theia_3581"
