rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas
1,HSC_381,271.385757,17.770899,44.159678,17.92,311.1,7.4643,288,16.698,3.07251,29.6577,7.487,0.211,-1.0359,-8.11,3.1609
2,HSC_1314,74.421885,35.931116,168.498313,-4.335,336.0,7.6316,116,17.636,3.00471,28.3632,8.07,1.178,3.3964,-10.6409,2.8555
3,HSC_2986,285.31711,-36.883402,359.953885,-17.71,145.9,5.82,222,7.616,2.98837,28.0556,6.853,0.168,2.2086,-27.5565,6.6938
4,Platais_8,136.894836,-59.308819,277.651362,-7.924,131.9,5.6016,225,6.848,2.97154,27.7404,7.494,0.178,-16.2379,13.7426,7.4267
5,Theia_229,90.252555,-27.850414,233.732397,-22.63,298.7,7.376,185,15.057,2.88606,26.1673,8.116,0.056,-6.2622,-0.2976,3.1775
6,OCSN_92,231.555157,-36.062061,334.842842,17.04,135.8,5.6644,103,6.804,2.86818,25.8442,6.966,0.262,-20.4981,-24.5759,7.2456
7,Theia_807,87.068144,-18.714051,223.377483,-22.07,324.4,7.5552,104,14.7,2.59472,21.1511,8.047,0.091,-7.1693,1.2821,3.017
8,HSC_2636,204.888686,-44.482232,311.903979,17.55,131.1,5.5877,284,5.89,2.57283,20.7956,6.993,0.303,-25.9719,-19.4116,7.472
9,HSC_633,307.375362,42.393644,80.682937,1.988,451.7,8.2741,156,20.101,2.54817,20.3988,7.759,0.089,3.3861,-0.1945,2.1586
10,HSC_1553,93.012745,13.981877,196.019592,-2.15,217.8,6.6905,330,9.561,2.51327,19.844,7.585,0.045,5.6298,-16.33,4.6205
11,Mamajek_4,276.370976,-50.637344,344.094821,-16.78,428.7,8.1608,655,18.672,2.49392,19.5396,8.494,0.198,3.6594,-21.6695,2.2188
12,HSC_1058,22.926173,43.725791,130.588539,-18.55,486.2,8.4339,144,21.17,2.49335,19.5307,8.069,0.125,4.4935,-4.924,1.9522
13,Melotte_111,186.017199,26.422675,217.970165,83.85,87.4,4.7077,271,3.739,2.44935,18.8473,8.816,0.071,-12.1546,-8.8553,11.7093
14,HSC_1030,25.589061,64.613463,128.35699,2.279,719.4,9.2848,163,30.121,2.39754,18.0585,8.187,1.554,2.2276,-5.5679,1.3037
15,COIN-Gaia_13,83.391593,41.827987,167.760313,4.765,484.8,8.4279,572,20.291,2.39655,18.0436,8.217,0.227,-3.9501,-1.5878,1.948
16,OCSN_10,276.089386,15.689698,44.110442,12.96,357.7,7.7676,121,14.662,2.34714,17.3072,7.737,0.379,-1.5856,-7.2913,2.6929
17,CWNU_1044,129.930407,-51.859045,269.345003,-6.228,359.0,7.7753,377,14.552,2.32149,16.931,7.535,0.149,-11.6403,9.7614,2.7062
18,Delta_Cephei_Cluster,336.423863,57.15725,104.141492,-0.2991,243.0,6.9283,164,9.798,2.30862,16.7438,7.828,0.072,16.5064,4.6672,4.1135
19,HSC_2442,165.238974,-70.579779,293.935839,-9.663,280.3,7.238,118,11.249,2.29831,16.5946,7.417,0.381,-21.8387,-1.3577,3.5198
20,HSC_1743,106.265037,-7.858291,221.473219,-0.5714,712.6,9.2643,193,28.583,2.29686,16.5737,8.112,0.175,-3.2738,2.3727,1.33
21,Mamajek_2,264.359954,-8.015697,17.039041,12.48,207.1,6.5813,226,8.268,2.28573,16.4134,7.994,0.746,-10.0689,-19.4998,4.8789
22,CWNU_1142,75.526546,2.836667,197.007225,-22.68,285.5,7.2778,111,11.338,2.27453,16.2529,7.923,0.107,-0.2416,-5.6573,3.4452
23,Theia_714,21.847166,56.128049,127.958249,-6.392,568.8,8.7748,108,22.359,2.25115,15.9206,8.002,0.319,4.2691,-3.7917,1.6811
24,Theia_282,92.711208,11.975088,197.641572,-3.37,775.1,9.4467,233,30.281,2.2373,15.7252,7.955,0.304,-1.7904,-1.8489,1.2405
25,Theia_232,16.861294,50.35142,125.545555,-12.44,317.1,7.5062,152,12.137,2.1918,15.0921,7.649,0.189,15.3553,-7.1077,3.0665
26,Theia_247,300.273519,10.214125,50.21195,-10.44,442.4,8.229,190,16.627,2.15239,14.5543,7.928,0.182,-1.5318,-11.941,2.1448
27,Alessi_145,120.953587,3.985088,217.719827,17.9,608.2,8.9202,143,22.017,2.0733,13.5044,8.225,0.078,-7.6642,-1.2262,1.5597
28,Theia_1203,281.015103,-57.177993,338.56223,-21.57,389.8,7.9544,136,13.909,2.04337,13.1173,8.445,0.19,5.6398,-24.9045,2.443
29,CWNU_2136,80.396373,23.944955,181.290371,-7.222,1272.4,10.5232,120,44.402,1.99853,12.5479,8.52,1.415,0.7318,-5.5668,0.7355
30,HSC_2865,266.361715,-44.045989,347.006304,-7.779,663.9,9.1104,141,23.097,1.99261,12.4737,8.171,0.22,-2.0039,-4.1071,1.3927
31,CWNU_1032,300.919434,31.84783,69.068081,0.3573,360.3,7.7831,231,12.487,1.98512,12.3801,7.966,0.109,3.7529,-1.2331,2.6656
32,NGC_2202,94.206605,5.984516,203.631493,-4.912,798.3,9.5108,101,27.305,1.959,12.0564,8.06,0.256,-0.9092,-3.7781,1.1622
33,UPK_545,130.974572,-58.784318,275.281669,-9.939,328.7,7.5843,597,11.162,1.94458,11.8796,8.007,0.086,-8.4174,2.5306,2.9532
34,CWNU_1024,104.285512,-27.391791,238.23008,-10.96,394.4,7.9797,336,13.336,1.93655,11.7817,7.511,0.173,-5.5454,6.0176,2.4955
35,Theia_713,7.540837,68.411784,120.968003,5.621,452.9,8.2798,117,15.249,1.92866,11.6858,8.515,0.885,-6.1182,-4.741,2.1119
36,HSC_895,353.161651,56.674281,112.226161,-4.551,656.9,9.0875,110,21.967,1.91525,11.5239,8.23,0.819,5.2932,-1.3103,1.4667
37,Theia_1918,129.195028,-48.117167,266.058447,-4.353,400.9,8.0152,169,13.358,1.90842,11.4419,7.382,0.227,-10.6356,1.9998,2.4402
38,Theia_792,99.018404,19.613478,193.719748,5.561,214.8,6.6601,119,7.123,1.89922,11.3319,8.291,0.078,3.0526,-11.1745,4.7369
39,Theia_401,347.80923,47.7812,106.035922,-11.78,648.6,9.0599,194,21.188,1.87105,10.9982,8.193,0.3,-0.781,-3.5213,1.4729
40,Alessi_84,110.510066,55.384482,161.823346,26.27,201.6,6.5221,128,6.572,1.86742,10.9555,8.068,0.067,-3.1196,-31.4468,5.0374
41,CWNU_1007,79.207768,18.477745,185.260376,-11.19,350.4,7.7227,105,11.337,1.85315,10.7888,7.286,0.583,-0.2674,-5.6411,2.7736
42,HSC_1666,104.751929,3.31728,210.838842,3.195,599.6,8.8893,110,19.059,1.82059,10.4129,8.396,0.087,-1.6682,-1.1442,1.6042
43,HSC_2215,141.918052,-49.82982,272.870049,0.7629,510.3,8.539,148,16.026,1.79889,10.1662,7.76,0.101,-11.7694,4.3428,1.9088
44,HSC_2408,169.508208,-59.085805,291.177441,1.638,259.6,7.0719,115,7.882,1.73876,9.4979,8.106,0.139,-22.5208,6.732,3.6459
45,Platais_9,138.320686,-43.55757,266.680908,3.438,187.9,6.3695,251,5.66,1.72534,9.3519,7.566,0.093,-24.5592,13.3009,5.4479
46,UPK_612,255.098534,-68.523562,322.609454,-15.82,226.8,6.7784,228,6.781,1.71246,9.2127,8.078,0.101,-13.327,-12.2082,4.3789
47,UPK_230,354.485551,71.896282,117.226527,9.843,523.5,8.5948,197,15.349,1.67926,8.8591,8.089,0.934,4.7676,-1.0521,1.8349
48,HSC_2733,228.064671,-44.529138,327.725179,11.46,141.8,5.7578,165,4.145,1.67483,8.8123,6.978,0.137,-20.6666,-21.8923,6.8489
49,OCSN_96,240.429655,-22.709214,350.273818,22.2,136.7,5.679,223,3.986,1.67001,8.7617,6.671,0.396,-11.5407,-23.8876,7.0649
50,Theia_953,139.660336,-58.604985,278.113636,-6.402,542.7,8.6728,147,15.5,1.63596,8.4081,7.551,0.531,-5.6921,3.1321,1.7935
51,UPK_526,115.946397,-52.835537,265.603417,-13.98,543.2,8.6747,173,15.415,1.62559,8.3018,7.466,0.457,-7.7743,7.8039,1.7499
52,CWNU_519,313.931751,56.754539,94.666606,7.442,319.4,7.5216,287,9.056,1.62402,8.2858,7.354,0.132,5.0119,3.4896,3.072
53,Theia_139,82.510358,-2.110382,205.291919,-19.03,316.7,7.5034,105,8.969,1.62211,8.2662,7.978,0.176,-2.9015,-4.2705,3.0539
54,Theia_1966,248.327253,-52.63956,332.978411,-3.226,1136.4,10.2777,199,32.1,1.61796,8.224,7.974,0.926,-0.5208,-0.8254,0.8308
55,Turner_5,143.138632,-36.429244,264.214214,11.08,399.8,8.0094,116,11.29,1.61737,8.218,8.214,0.171,0.067,-3.0194,2.4023
56,OCSN_82,108.531357,-35.060592,246.870118,-10.95,405.7,8.0412,157,11.407,1.61037,8.1471,7.372,0.16,-5.4402,6.4569,2.4216
57,UBC_11,246.732465,-59.704536,327.19279,-7.413,434.2,8.1883,155,12.146,1.60247,8.0674,8.106,0.211,-0.4763,-6.7866,2.1616
58,Theia_862,37.400472,56.745563,136.123361,-3.591,679.7,9.1616,175,18.918,1.59427,7.9849,8.412,1.079,0.2275,-3.7082,1.3946
59,CWNU_522,75.678003,8.081014,192.315215,-19.78,372.9,7.858,173,10.343,1.58871,7.9294,7.554,0.175,0.8832,-4.4839,2.5748
60,Theia_446,18.552391,62.756527,125.534594,-9e-05,371.2,7.848,135,10.249,1.58164,7.859,7.905,0.549,7.7313,-3.6979,2.6004
61,Theia_711,282.09396,-7.743776,25.686943,-2.846,410.2,8.0648,105,11.253,1.57161,7.7596,7.792,0.855,1.0652,-11.3825,2.3055
62,LISC-III_3668,120.111868,-44.189204,259.261329,-7.387,564.7,8.7589,356,15.395,1.56171,7.6622,7.458,0.165,-6.2509,7.3345,1.7024
63,Theia_248,324.695766,53.668939,96.734781,0.8967,459.3,8.3104,153,12.496,1.55845,7.6302,8.048,0.612,8.8365,6.2902,2.0768
64,Platais_10,205.278957,-59.15646,309.271793,3.102,239.4,6.8957,197,6.456,1.54481,7.4972,8.095,0.28,-29.3119,-10.7877,4.1339
65,Theia_323,194.202847,-55.76297,303.693523,7.101,469.3,8.3574,105,12.561,1.533,7.383,8.107,0.218,-13.9052,-3.07,2.011
66,Theia_72,101.702357,-9.785555,221.144025,-5.463,281.4,7.2464,140,7.378,1.50211,7.0885,7.436,0.162,-0.9888,-4.2969,3.4549
67,Theia_643,255.562476,-48.923916,338.774843,-4.333,545.2,8.6826,136,14.258,1.49818,7.0514,8.201,0.841,1.1816,-5.0299,1.7092
68,CWNU_1173,179.921845,-70.286088,298.559517,-7.855,424.7,8.1404,165,10.676,1.44004,6.5148,8.001,0.503,-13.0314,-0.6217,2.2436
69,Theia_5,315.432053,68.152598,104.059941,14.18,329.4,7.5889,155,8.28,1.43969,6.5116,6.936,0.807,7.9063,-1.1315,2.912
70,UPK_569,170.379961,-72.113961,296.073831,-10.45,246.6,6.9603,145,6.183,1.43596,6.4779,7.434,0.619,-25.4242,-1.0492,4.0269
71,HSC_1403,75.693166,24.300515,178.494,-10.53,464.6,8.3356,105,11.588,1.42868,6.4124,7.466,1.491,1.2313,-5.204,2.022
72,OCSN_76,99.638088,-16.764762,226.582834,-10.34,447.4,8.2533,119,11.084,1.41924,6.328,7.568,0.18,-4.2953,5.0166,2.1618
73,CWNU_1069,119.314645,-43.510747,258.376717,-7.533,393.5,7.975,140,9.701,1.41202,6.2637,7.213,0.138,-9.303,8.9468,2.4793
74,UPK_72,284.98783,27.292717,58.408649,10.35,438.3,8.2091,176,10.795,1.41074,6.2524,7.873,0.377,-0.4614,-4.5544,2.2086
75,CWNU_77,45.330868,71.078425,133.141632,10.83,805.2,9.5296,108,19.707,1.40195,6.1747,7.851,0.885,-1.1991,-0.0045,1.1742
76,Theia_625,289.447065,-13.774997,23.452058,-11.99,496.0,8.4776,104,12.139,1.40189,6.1742,8.22,0.316,5.84,0.2812,1.9002
77,Melotte_20,51.331938,49.118659,147.119876,-6.389,172.6,6.1849,938,4.211,1.39786,6.1387,7.745,0.242,22.9182,-25.4626,5.7409
